id,scam_type,message,description,language,target_info_requested,medium
7856,Fake Loan Approval Scam,You are pre-approved for a ₹43935 loan. Pay ₹409 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7857,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹12960 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 1049861353.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7858,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7859,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹28027 to UPI ID: mjani@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7860,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹81827 to UPI ID: vardaniyakakar@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7861,Friend in Distress Scam,"Hey, it's Hridaan. I'm stuck in Suryapet and need ₹38377 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7862,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7863,Fake Discount/Refund Scam,You are eligible for a ₹34446 refund from Bawa-Lad. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7864,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://goel.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7865,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://ganesh-dasgupta.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7866,Fake Loan Approval Scam,You are pre-approved for a ₹88549 loan. Pay ₹366 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7867,Friend in Distress Scam,"Hey, it's Purab. I'm stuck in Loni and need ₹28695 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7868,Fake Discount/Refund Scam,"You are eligible for a ₹4728 refund from Walia, Tata and Luthra. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7869,Fake Job Offer Scam,"Hi, this is Bhavin from HR at Dayal-Dixit. You've been shortlisted for a remote role. Pay ₹369 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7870,Fake Discount/Refund Scam,You are eligible for a ₹66147 refund from Krish-Bumb. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7871,Fake Technical Support Scam,This is Chirag from Jayaraman-Srinivasan Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7872,Cryptocurrency Investment Scam,Invest ₹84794 in our crypto plan and get ₹37420 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7873,Fake Charity/Donation Scam,We're raising funds for flood victims in Goa. Please donate what you can to UPI ID: lakshitsuri@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7874,Fake Technical Support Scam,"This is Nitya from Cheema, Wable and De Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7875,Cryptocurrency Investment Scam,Invest ₹89779 in our crypto plan and get ₹25723 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7876,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7877,Fake Discount/Refund Scam,You are eligible for a ₹12948 refund from Kapur-Wason. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7878,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹11558 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +913873224181.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7879,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7880,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹58839 to UPI ID: gokul63@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7881,Fake Technical Support Scam,"This is Onkar from Iyengar, Dhar and Kata Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7882,Fake Charity/Donation Scam,We're raising funds for flood victims in Andhra Pradesh. Please donate what you can to UPI ID: misha45@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7883,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹64903 to UPI ID: keyakashyap@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7884,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7885,Fake Discount/Refund Scam,You are eligible for a ₹22670 refund from Viswanathan Ltd. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7886,WhatsApp Account Hacking Scam,"Hey, this is Advika. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7887,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7888,Friend in Distress Scam,"Hey, it's Taimur. I'm stuck in Visakhapatnam and need ₹54279 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7889,Friend in Distress Scam,"Hey, it's Jayan. I'm stuck in Jehanabad and need ₹54317 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7890,WhatsApp Account Hacking Scam,"Hey, this is Sara. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7891,Friend in Distress Scam,"Hey, it's Saira. I'm stuck in Haridwar and need ₹2286 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7892,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹92938 to UPI ID: xahluwalia@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7893,Tax Refund Scam,Your tax refund of ₹28499 is ready. Click here to verify your info: http://kalla.info,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
7894,Fake Loan Approval Scam,You are pre-approved for a ₹7068 loan. Pay ₹879 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7895,WhatsApp Account Hacking Scam,"Hey, this is Divij. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7896,Fake E-commerce Scam,Get AirPods Pro for just ₹26027. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7897,Fake Loan Approval Scam,You are pre-approved for a ₹22546 loan. Pay ₹939 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7898,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: fbiswas@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7899,Fake E-commerce Scam,Get AirPods Pro for just ₹51804. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
